 time            x1.comp_p       x1.comp_m       dout0           dout1           dout2           dout3           dout4           dout5           dout6           dout7           data_rdy        vinp            vinm           
 1.01200602e-09  7.74179050e-01  8.96397534e-01  1.39568849e-06  1.39576730e-06  1.39576730e-06  1.39576732e-06  1.39576729e-06  1.39576731e-06  1.39567010e-06  1.77494423e+00  1.64708126e-05  9.00050173e-01  8.99949827e-01 
 1.03601805e-09  6.23233839e-01  8.95386621e-01 -1.47794185e-06 -1.47827907e-06 -1.47827908e-06 -1.47827910e-06 -1.47827907e-06 -1.47827908e-06 -1.47783946e-06  1.80686366e+00 -2.67370892e-06  9.00051364e-01  8.99948636e-01 
 1.06474850e-09  3.46820413e-01  8.94766359e-01  2.47618604e-07  2.48205641e-07  2.48205654e-07  2.48205642e-07  2.48205659e-07  2.48205635e-07  2.47623779e-07  1.79632959e+00 -3.94653443e-06  9.00052788e-01  8.99947212e-01 
 1.10155735e-09  1.24309972e-01  8.94869700e-01  5.06122364e-07  5.05462586e-07  5.05462563e-07  5.05462594e-07  5.05462549e-07  5.05462599e-07  5.05665130e-07  1.80245765e+00  6.21488270e-06  9.00054613e-01  8.99945387e-01 
 1.13607073e-09  7.95592662e-02  8.95179359e-01 -7.49319411e-07 -7.48729631e-07 -7.48729589e-07 -7.48729626e-07 -7.48729573e-07 -7.48729639e-07 -7.48148015e-07  1.79823539e+00 -6.95594964e-06  9.00056324e-01  8.99943676e-01 
 1.17618051e-09  6.80523841e-02  8.95450080e-01  7.69832832e-07  7.69396218e-07  7.69396158e-07  7.69396193e-07  7.69396142e-07  7.69396206e-07  7.68240180e-07  1.80132270e+00  6.95069986e-06  9.00058313e-01  8.99941687e-01 
 1.21871770e-09  6.03476272e-02  8.95652649e-01 -7.09203921e-07 -7.08944451e-07 -7.08944380e-07 -7.08944411e-07 -7.08944365e-07 -7.08944411e-07 -7.07535926e-07  1.79894890e+00 -6.62528157e-06  9.00060422e-01  8.99939578e-01 
 1.27589510e-09  5.46722648e-02  8.95881785e-01  6.67982141e-07  6.67847696e-07  6.67847623e-07  6.67847650e-07  6.67847609e-07  6.67847633e-07  6.66436470e-07  1.80087488e+00  6.31962612e-06  9.00063257e-01  8.99936743e-01 
 1.33441390e-09  5.11931051e-02  8.96077756e-01 -6.05585055e-07 -6.05564240e-07 -6.05564168e-07 -6.05564192e-07 -6.05564156e-07 -6.05564153e-07 -6.04249735e-07  1.79925681e+00 -5.96462126e-06  9.00066158e-01  8.99933842e-01 
 1.40287184e-09  4.88429422e-02  8.97966700e-01  5.70527039e-07  5.70593980e-07  5.70593911e-07  5.70593933e-07  5.70593901e-07  5.70593876e-07  5.69399913e-07  1.80064009e+00  5.67334294e-06  9.00069552e-01  8.99930448e-01 
